epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.298,1.86121,2.58894,1.27962,0.56851,0.55197,0.60075,0.29609,1.72634,2.51637,1.24988,0.00020006,0.00020006,0.00020006
2,269.21,1.61934,1.77469,1.18022,0.69409,0.64615,0.75123,0.39637,1.59545,1.89013,1.19486,0.000277655,0.000277655,0.000277655
3,379.333,1.52106,1.43256,1.14445,0.83063,0.71709,0.83322,0.45945,1.52755,1.59891,1.13908,0.000213778,0.000213778,0.000213778
