epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.929,2.43023,4.39545,1.50685,0.59735,0.41147,0.37026,0.16672,1.96589,3.73276,1.3066,0.00020006,0.00020006,0.00020006
2,197.122,2.0302,3.08027,1.40012,0.6692,0.29049,0.32149,0.14465,1.91933,3.53914,1.35741,0.000277655,0.000277655,0.000277655
3,296.628,1.84168,2.10404,1.33842,0.5012,0.41496,0.48636,0.22327,1.88688,2.7654,1.36629,0.000213778,0.000213778,0.000213778
